P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5)
0.009543440237731158,0.009543459538971052,0.9618260634629491,0.009543489092093104,0.009543547668255742
0.01029255726471918,0.010292785334318422,0.9588291814105268,0.010292733399479876,0.010292742590955594
0.01099199926908713,0.010992094416554892,0.956031320517098,0.010992304640675415,0.010992281156584441
0.009083553173837257,0.009083499791089536,0.9636661040002604,0.00908360162640165,0.00908324140841113
0.008034827032642676,0.008035036998251541,0.9678601171687309,0.008034947364897849,0.008035071435477104
0.009604133121594744,0.009603972985421753,0.9615841600637524,0.00960379676211984,0.00960393706711132
0.016013982659528858,0.016013486954095327,0.9359452974939559,0.016013421601160614,0.016013811291259287
0.008958171642727249,0.008958284804344067,0.9641671033571335,0.008958217151152118,0.008958223044643021
0.014174965808219782,0.014174679299991014,0.9433012312057384,0.01417452833613463,0.014174595349916283
0.008993423867996503,0.008993580033886207,0.9640259945866552,0.008993380821205224,0.00899362069025686
0.011244085382149304,0.011244232627233251,0.9550236625177402,0.011244132833719726,0.011243886639157596
0.00927324118573598,0.009273249092163136,0.9629065485792871,0.009273622616082488,0.009273338526731357
0.010940522032799984,0.010940274147712327,0.9562382457900839,0.010940363373162587,0.010940594656241106
0.009849916283463564,0.009850053932548482,0.9606000954225641,0.009849971456370805,0.009849962905053055
0.011031808025339917,0.011031612774451523,0.9558731479002932,0.0110318111362677,0.011031620163647645
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.008278629911610156,0.008278620720520704,0.9668851313086066,0.008278629771506327,0.008278988287756155
0.011482588528531124,0.011482303816827034,0.9540699398085349,0.01148278207335482,0.011482385772752204
0.010511288544598263,0.010511422164203093,0.9579544317953061,0.010511366653897191,0.010511490841995296
0.009956403456915135,0.009956306586329275,0.960174434711572,0.009956476448559553,0.009956378796624098
0.008964063598623076,0.008963533465502358,0.9641444593650975,0.008964200571916313,0.00896374299886089
0.009766768159681992,0.00976671443090711,0.9609329234188684,0.009766696209164623,0.009766897781377883
0.009257949709916698,0.00925808489972286,0.9629680740380774,0.009257904986794243,0.009257986365488847
0.009247676357046673,0.009247637700351126,0.9630094123690691,0.009247739857832084,0.009247533715701044
0.012603358547174683,0.012603412645876768,0.949586413670773,0.0126034170560661,0.012603398080109428
0.010188247936252852,0.010188564338910367,0.9592473545543494,0.01018806942066432,0.010187763749823235
0.010620003329366745,0.01062004487247165,0.9575198581593346,0.010620045619147594,0.0106200480196793
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.01161337986438862,0.0116134448435168,0.953547108677568,0.011613108933574215,0.011612957680952288
0.009089341598076978,0.009089248232117913,0.9636429712915592,0.009089271102726865,0.009089167775518926
0.009932792260455578,0.00993240425076115,0.9602697442827126,0.009932585005131177,0.009932474200939458
0.009262187348362701,0.009262218742071294,0.9629512078823615,0.009262167120149366,0.00926221890705503
0.008777193041569159,0.008777156813866642,0.9648915562361489,0.008777213145708774,0.0087768807627067
0.008817771921062563,0.00881760583534413,0.9647290162901682,0.008817911641508901,0.0088176943119164
0.009334501620373558,0.009334167669440103,0.9626627390622747,0.009334285124126639,0.009334306523784997
0.010133208730852482,0.01013322953401157,0.9594670541483058,0.010133153193113751,0.010133354393716511
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.009636950747411034,0.00963704847504465,0.9614518394087738,0.00963704046189038,0.009637120906880103
0.010619384928263033,0.010619258110408697,0.9575229241677016,0.010619068391003439,0.01061936440262307
0.009275499800058097,0.009275178758724804,0.9628991993769883,0.009275019198889463,0.009275102865339294
0.010640869540128725,0.010640360357069093,0.9574374398483132,0.01064079693695328,0.010640533317535825
0.009811103361316624,0.009811059538099947,0.9607553640594183,0.009811156231689228,0.009811316809475836
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.008685131861417101,0.008685132703466174,0.965259503324379,0.008685087492709435,0.00868514461802834
0.01004726213862929,0.010047742305000915,0.959810114183126,0.010047363209683089,0.010047518163560632
0.008460995735375619,0.008460984355280613,0.9661556995837794,0.008461238603092978,0.00846108172247144
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.010119715341908052,0.010119573533112134,0.9595216184237052,0.010119615467018781,0.010119477234256007
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.010589848134931943,0.01059000482282148,0.9576401530558047,0.010589850944913383,0.010590143041528308
0.009264036852217937,0.00926381983463475,0.9629436601849788,0.009264510209138802,0.00926397291902955
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.00897880006014428,0.008978553563706007,0.9640854049825823,0.008978550175598773,0.00897869121796881
0.008914009056785702,0.008914166678568324,0.9643436743989648,0.008913965140003232,0.008914184725677982
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.010579932307710874,0.010580018973061928,0.9576802598710676,0.010580097336694773,0.010579691511464744
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.010598064424204598,0.01059785767004997,0.9576079830642625,0.010598134836126344,0.010597960005356566
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.007920518638732462,0.007920887911760568,0.9683174788846325,0.007920593134719212,0.007920521430155196
0.012006549223801411,0.012006746816429197,0.9519735763274288,0.012006658950278982,0.012006468682061532
0.01224685275194129,0.012247029831840254,0.9510115219699278,0.012247398224084566,0.012247197222205897
0.008782889382712818,0.008782493529590957,0.9648693141326979,0.008782563425337422,0.008782739529660955
0.010031499111269616,0.010031468242414188,0.959874253278292,0.010031374126002945,0.010031405242021436
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.01010275039576269,0.010103316091875042,0.9595881863823736,0.010102956165214606,0.010102790964774056
0.007556934959689148,0.007556819151583764,0.9697728595680073,0.007556674518717655,0.007556711802002189
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.010152818648427805,0.010153038003008558,0.9593884153891907,0.010152773536916796,0.010152954422456213
0.00942025546299867,0.009420603210575322,0.9623185878099074,0.00942027396256255,0.009420279553955942
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
0.008645312356305787,0.008645246807031265,0.9654185069371598,0.008645266341609004,0.008645667557894124
0.010994076526656698,0.010993605727973022,0.9560247194015098,0.010993646318356108,0.010993952025504341
0.01044368568920192,0.010443343670683235,0.9582260301212348,0.010443388269922005,0.010443552248958229
0.100000724142971,0.100000745797273,0.5999968057778763,0.10000084244050103,0.10000088184137872
